BD,BD
BV,BV
CA,SA
CD,CD
FE,FE
FER,FER
FEU,FE
FIEF,FIEF
FJORD,FJORD
FLEAU,FLEO
GOAL,GOL
HE,É
HEU,E
HIER,IER
OS,OS
RAZ,RA
RIZ,RI
TABAC,TABA
